iter	Passed	Remaining
0	0	36
1	0	32
2	0	30
3	1	27
4	1	26
5	1	25
6	1	24
7	2	24
8	2	23
9	2	23
10	2	22
11	3	25
12	3	25
13	4	27
14	4	26
15	4	26
16	5	27
17	5	26
18	6	26
19	6	25
20	7	26
21	7	26
22	7	25
23	7	24
24	8	24
25	8	23
26	9	24
27	9	23
28	9	23
29	10	23
30	10	23
31	10	22
32	10	22
33	11	21
34	11	21
35	11	20
36	11	20
37	12	19
38	12	19
39	12	18
40	12	18
41	12	17
42	13	17
43	14	18
44	14	17
45	14	17
46	14	16
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	17	13
57	18	13
58	18	12
59	18	12
60	18	11
61	19	12
62	20	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	22	9
69	22	9
70	22	9
71	22	8
72	22	8
73	23	8
74	23	7
75	23	7
76	24	7
77	24	6
78	25	6
79	25	6
80	26	6
81	26	5
82	26	5
83	26	5
84	27	4
85	27	4
86	27	4
87	27	3
88	28	3
89	28	3
90	28	2
91	28	2
92	29	2
93	29	1
94	29	1
95	30	1
96	30	0
97	30	0
98	31	0
99	31	0
